gold_label,sequence,attention_mask,token_type
contradiction,[CLS] obviously the ghost operative is somewhat better equipped than a mere foot soldier . [SEP] a foot soldier is always literally a soldier which is related to the foot . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
entailment,"[CLS] even use them very often actually . why ? because , since each of the search engines used by a meta search engine ( alta vista , hot ##bot , ink ##tom ##i , google [SEP] a search engine is always literally an engine that is related to the search . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
contradiction,[CLS] i had a narrow escape by not being in the cinema at that time . [SEP] a narrow escape is always literally an escape that is narrow . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1
contradiction,[CLS] she felt she could not just be an armchair critic - it was her moral responsibility to do something . [SEP] an armchair critic is always literally a critic that is related to the armchair . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
contradiction,"[CLS] you ' re going to be top dog , number one , king of the jungle . [SEP] a top dog is always literally a dog that is related to the top . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
neutral,[CLS] the reason why so few do is probably because their prices are cut to rock bottom for commercial reasons and this pre ##cl ##udes much in the way of on - site vo ##icing . [SEP] rock bottom is always literally a bottom that is related to rock . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
entailment,[CLS] i make fi ##zzy drinks by mixing juice with sparkling water . [SEP] sparkling water is always literally water that is sparkling . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1
contradiction,"[CLS] engine and you will get in the region of 31 , 560 hits . who is no shrinking violet online . additionally , it has it ' s own monthly publication and it ' s spawned [SEP] a shrinking violet is always literally a violet that is shrinking . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1
entailment,"[CLS] 9 ) . dr alice mack ##rell , a costume historian specializing in the history of fashion plates , is also the author of several books , including art and fashion ( isbn [SEP] a fashion plate is always literally a plate that is related to fashion . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
neutral,[CLS] another life belt was thrown and the two men dragged her to shore on the east bank . [SEP] a life belt is always literally a belt that is related to life . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
