sentence1,sentence2,label,index,gold_label
each other and with a group within which there is little assertion of rank or pecking order among participants . Brainstorming is the basis for other group decision-making techniques .,The group is made up of people who have the ability to make decisions and to communicate with one another.,0.9,6346,entailment
PC tries to improve on cellular phone privacy and security by incorporating cryptographic techniques.,I have heard that there is an application called Cryptocat which allows a user to encrypt messages.,0.5,578,neutral
"The  life vestunder your seat, with built-in whistle and flashlight, is next to useless.",You have a very nice car. I can't imagine what kind of money you have to spend on it.,0.1,2406,contradiction
" back , but we wont get them back by battling against a ' yellow brick wall ' . Talking of ' exclusive clubs ' thanks to Jes for getting me into"," back, but we'll still get them back by battling against a'yellow brick wall '.",0.5,9628,neutral
The news was culled initially from a news agency teleprinter on the ship.,The news was culled initially from a news agency on the ship.,0.9,2818,entailment
"Words and music are closely matched, and the composer introduces word painting.",The composer introduces word painting by using a single word to describe each of the three parts of the work.,0.9,3943,entailment
"have a formally constituted club . As things stand , we are slightly less a sitting duck for the tabloid rags , but the real reason by now is inertia . Maybe","We are a sitting duck for the tabloid rags, but the real reason by now is inertia. Maybe the time is right to start a more formalised club.",0.5,5391,neutral
democracy is not just about human rights and elections - it can also deliver effective public services and development . Free votes and discussion can prevent the reign of tyrants and allow,the people to decide on the policies and priorities that will affect their lives,0.9,6255,entailment
wrapped up and in a box under a stone slab in the dairy . The grandfather clock fell to the floor . Within a few days tarpaulin had been spread over the,"The milkman came to the door. He said 'I am so sorry, I am so sorry' and he left the milk.",0.9,7806,entailment
@ £ 3 Fox Forty Whistle The ' Fox 40 ' waterproof whistle with non-corrosive brass ring . Use for sport or safety ( used by rescue professionals worldwide ) . Fox, @£ 3.40 'Fox 40' waterproof whistle. Use for sport or safety,0.5,9651,neutral
The sandstone makes good flat stones for dry wall building and paving.,The rock does the same for dry wall building and pavement. The stone is very hard and has a good texture. I think that the rock will last longer than the sandstone.,0.5,1172,neutral
"In particular, note that operator *= does element-by-element multiplication, not inner product style matrix multiplication.","If you are a programmer, you probably have heard of the concept of ",0.1,2096,contradiction
""" button to confirm the order placed . The Client shall provide his / her credit card details , the type , the expiry date and the security code ( 3 last", ,0.9,8744,entailment
"Tory and Lib Dem , of what jobs our illustrious MPs had before boarding the gravy train . I can only recall one who had a proper job ; ship 's steward",The other one was the leader of a local council. The only thing he was good at was making sure that his local shopkeepers got paid their wages.,0.5,7732,neutral
I love being a busy bee but I would like a bit of 'jill' time.,I am not a 'busy bee' and I do not want to be one.,0.9,478,entailment
"year . As a film , Chicken Little felt to me like it was a melting pot of every "" alien invasion film "" and "" outer space cartoon "" I have",I felt it was a melting pot of the ,0.5,6899,neutral
We have already extended to Greece certain types of relief and economic aid but these are inadequate.,We are prepared to extend further assistance to Greece in the event that the necessary measures to stabilise the euro area are taken.,0.9,1247,entailment
""" More and more malware is being written by criminals , designed to steal bank account information from innocent computer users , "" continued Cluley . "" All internet users need","To be aware of these types of malicious software, ",0.1,9780,contradiction
"many of the images here are affectingly representative of their times, including flower children placing daisies into the rifles of us soldiers.","I am the last of my family to leave this world, but I have seen enough to know that I will not be missed.",0.9,1626,entailment
I make fizzy drinks by mixing juice with sparkling water.,I make fizzy drinks by mixing juice with sparkling water and sugar.,0.9,3666,entailment
"advantages . For this reason general use of asynchronous design , instead of being a silver bullet turns out to be a blank . Francky Catthoor For real-time signal processing applications ,",the. The...,0.9,5547,entailment
"School now fronts onto a busy road and traffic speeds past , even on nearby zebra crossing .",The school's main hall has been converted to a library and is surrounded by a large lawn.,0.5,4667,neutral
"significance to the international community . The journal also publishes original information papers and innovative case studies of international significance . All papers undergo BRI 's rigorous , highly selective double-blind refereeing","The journal is a peer reviewed and open access journal, and is a publication that is not affiliated with any organization.",0.5,9447,neutral
"a beautiful , tiny and completely unspoilt village in Northamptonshire which is used as a rat run between our local town and a much larger city . I have absolutely no objection","the village has a beautiful little park, which has a small pond in the centre. The village is surrounded by beautiful rolling hills and the village hall is a lovely place to visit",0.5,6051,neutral
Can I say that I know the people of a town by inspecting the phone book?,I know the people of a town by looking in their phone book.,0.9,3146,entailment
He was accused by the daily mirror of living the high life at the charity's expense.,He was accused of living a double life as the charity's chief executive and as the charity's chief financial officer. The charity was accused of using the charity's funds for its own purposes.,0.5,1960,neutral
"When dirty money disappears offshore, it becomes more difficult for governments to tackle corruption.","When corrupt money disappears offshore, it becomes more difficult for governments to tackle corruption.",0.9,1028,entailment
for some time been aware of the outline of a structure in the form of brick walls at ground level . It was not until the end of April this year that,I was given a tour of the site and was told that this was the largest and best preserved of these structures,0.5,9613,neutral
"She is an old flame of Steve's, so he invites her to lunch.","Steve is a great guy, he invited me to dinner. She is a new girl on the scene.",0.1,3003,contradiction
"debt of gratitude to Paddy . His impending move to Wales may make this his swan song , but many of us hope not . The following major event was the Register",The event that was not a major was his impending move to Wales. I'm sure that the move is going to be a great thing for him. I hope not,0.1,4932,contradiction
"was run down by a white van , registration number NID 92 , on a zebra crossing in the Goldhawk Road . A van with the same registration had been seen outside","the police had a search of the van and found two knives, one was a kitchen knife and the other was a large kitchen knife",0.5,4651,neutral
We also have a MacLarens baby buggy and potties and high chair if needed.,The baby buggy and potties and high chair are available for rent.,0.9,70,entailment
The carpet bombing in Afghanistan confirms the dreadful power of the American military machine.,A woman who is pregnant has just lost her baby. A woman who is expecting her own baby will probably be devastated by her pregnancy.,0.1,531,contradiction
"Staffordshire . Logopolis & logo police . Not the badge on the side of a panda car - Dr Who went to the former , the latter practise logography . M Moat","Staffordshire. Logopolis & logo police. Not the badge on the side of a panda car - Dr Who went to the former, the latter practise logography. M Moat",0.5,6508,neutral
"To get two letters passing it further down the line underlines the rather ivory tower approach by senior officers . "" Yesterday , a police spokesman said : "" Bedfordshire",The two sentences are not the same. ,0.9,7241,entailment
spraying champagne over the crowd . That is irresponsible and it does not deliver better public services . Productivity in key services like the NHS has been falling like a stone,the NHS has a £20 billion funding gap. This is not sustainable. We have to make sure that we are investing in the NHS to make sure it continues to deliver the best possible care,0.9,6238,entailment
"the subject until the last week or so . My friend and I are both night owls , are intrigued and like an adventure . I first heard of Pluckley in the","I'm interested in the history of music, and have recently read about a famous musician who is a very important figure in my own music history.",0.1,6646,contradiction
